"","D614G conv._Hamster_G990_D614G Hamster Sera (D21pi) Animal 1","D614G conv._Hamster_G991_D614G Hamster Sera (D21pi) Animal 2","D614G conv._Hamster_G992_D614G Hamster Sera (D21pi) Animal 3","D614G conv._Hamster_G993_D614G Hamster Sera (D21pi) Animal 4","delta conv._Hamster_G994_Delta Hamster Sera (D26pi) Animal 1","delta conv._Hamster_G995_Delta Hamster Sera (D26pi) Animal 2","delta conv._Hamster_G996_Delta Hamster Sera (D26pi) Animal 3","delta conv._Hamster_G997_Delta Hamster Sera (D26pi) Animal 4","BA.1 conv._Hamster_G998_BA.1 Hamster Sera (D21pi) Animal 1","BA.1 conv._Hamster_G999_BA.1 Hamster Sera (D21pi) Animal 2","BA.1 conv._Hamster_G1000_BA.1 Hamster Sera (D21pi) Animal 3","BA.1 conv._Hamster_H1_BA.1 Hamster Sera (D21pi) Animal 4","BA.5 conv._Hamster_H2_BA.5 Hamster Sera (D21pi) Animal 1","BA.5 conv._Hamster_H3_BA.5 Hamster Sera (D21pi) Animal 2","BA.5 conv._Hamster_H4_BA.5 Hamster Sera (D21pi) Animal 3"
"D614G","841.43592707071605","298.17200065377602","460.16714475815098","916.63031767547","263.31809277796498","262.87042674064497","313.820237026222","614.70165087501005","16.490162966491202","31.228592730138899","40.364502752615699","19.549193092116901","<16","<16","<16"
"Alpha","768.10715481266504","279.52911840130503","251.525831445406","833.65415941728804","447.25980144409903","423.351524346453","597.11634239711702","405.15146749041099","16.0289567229838","25.531364202207001","38.2172933203043","23.5983079059768","<16","25.906622128805001","<16"
"Alpha+E484K","324.28982929223099","218.77175093908701","195.67891172290501","515.45912522658","756.68387759911298","479.07329873565698","1478.8921501638199","893.45025063509604","84.959587201141602","74.280460978066699","108.76269203984999","83.241061983194001","80.258160425306002","99.885340132998905","73.033841999052498"
"Beta","122.789525081644","272.76580369696501","140.51083806283799","521.44530395553602","144.442375585599","137.58045699996799","300.91595960948001","97.859266493453106","<16","<16","<16","<16","<16","55.132077373516204","<16"
"Gamma","1854.5346004497201","464.44316833759802","786.22190038072495","1523.4117822902399","3187.5446166800298","2216.3887488604801","2958.2253110781699","1792.17690812056","138.557181348314","218.23166468812499","141.392716167077","83.461210402566095","161.44592773346201","278.27320349699602","144.49196757456801"
"Delta","2016.2233440974001","803.24853803130304","700.12871400954498","1377.4669236857001","322.94073790219198","604.631584320765","595.98747486322895","2962.42972740915","<16","41.526413333273098","<16","<16","60.787235321582003","<16","<16"
"BA.1","57.268819867187801","38.837990360729599","35.796223703181198","57.757820065122999","52.759560975690398","<16","73.516010076460603","64.520528008227203","321.77712217413398","722.52957490190499","312.96115306455499","349.742549427612","46.400756458995502","<16","<16"
"BA.2","31.135967136917699","88.718746738702393","36.315077066245202","77.492499887867893","45.5413489901375","<16","184.782721295915","<16","<16","187.15788464008301","<16","35.0687620384303","394.082578454957","246.76625191607999","53.691473890737697"
"BA.5","18.5008900747087","<16","<16","23.9819244974246","<16","<16","171.809925126705","22.285122385505801","<16","53.501046759646798","<16","<16","1630.05847728305","914.30814732699901","412.22017549311801"
"XBB.1.5.1","25.7378208550384","17.859283071415199","28.298780924891702","44.203191044947999","<16","<16","42.2219182623707","<16","23.846272956226599","22.070927769561699","<16","<16","119.272000578839","148.26142298852301","41.532488179277898"
